date;underlying;expiration;maturity;side;strike;mid;inTheMoney;underlyingPrice;intrinsicValue;extrinsicValue;ticker
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;420.0;22.025;True;424.6199951171875;4.6199951171875;17.4050048828125;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;425.0;19.525;False;424.6199951171875;0.0;19.525;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;430.0;17.125;False;424.6199951171875;0.0;17.125;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;435.0;14.875;False;424.6199951171875;0.0;14.875;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;440.0;13.175;False;424.6199951171875;0.0;13.175;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;445.0;11.3;False;424.6199951171875;0.0;11.3;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;450.0;9.75;False;424.6199951171875;0.0;9.75;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;455.0;8.375;False;424.6199951171875;0.0;8.375;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;460.0;7.300000000000001;False;424.6199951171875;0.0;7.300000000000001;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;465.0;6.25;False;424.6199951171875;0.0;6.25;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;470.0;5.525;False;424.6199951171875;0.0;5.525;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;475.0;4.6;False;424.6199951171875;0.0;4.6;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;480.0;3.875;False;424.6199951171875;0.0;3.875;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;485.0;3.375;False;424.6199951171875;0.0;3.375;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;490.0;2.88;False;424.6199951171875;0.0;2.88;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;495.0;2.385;False;424.6199951171875;0.0;2.385;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;500.0;2.105;False;424.6199951171875;0.0;2.105;MSFT
